_id.Age,_id.BusinessTravel,_id.DailyRate,_id.Department,_id.DistanceFromHome,_id.Education,_id.EducationField,_id.EnvironmentSatisfaction,_id.Gender,_id.HourlyRate,_id.JobInvolvement,_id.JobLevel,_id.JobRole,_id.JobSatisfaction,_id.MaritalStatus,_id.MonthlyIncome,_id.MonthlyRate,_id.NumCompaniesWorked,_id.OverTime,_id.PercentSalaryHike,_id.PerformanceRating,_id.RelationshipSatisfaction,_id.StockOptionLevel,_id.TotalWorkingYears,_id.TrainingTimesLastYear,_id.WorkLifeBalance,_id.YearsAtCompany,_id.YearsInCurrentRole,_id.YearsSinceLastPromotion,_id.YearsWithCurrManager,target
28,2,393,1,1,1,1,3,1,52,2,2,4,3,0,997,1037,3,0,3,0,2,1,12,4,1,9,8,4,7,0
32,2,191,2,27,2,2,3,1,9,1,2,7,0,0,1124,842,4,1,2,0,1,1,20,3,2,3,2,2,0,1
30,2,112,1,5,2,1,0,1,67,1,1,0,2,2,516,638,2,0,2,0,3,0,19,0,2,2,2,2,2,0
11,2,406,1,28,0,1,3,1,63,0,1,0,2,0,848,1105,8,0,6,0,3,2,11,3,2,7,0,1,6,0
22,0,657,1,8,4,1,3,1,33,1,1,0,3,1,644,707,9,0,3,0,3,1,5,5,0,3,2,0,2,0
7,2,542,2,27,2,1,0,1,11,1,1,7,2,1,1003,1326,2,0,7,0,3,0,6,3,2,2,2,2,2,0
10,1,430,1,5,2,1,2,1,9,1,0,6,2,0,251,1160,1,1,3,0,3,1,3,2,2,3,1,0,2,0
15,1,283,1,4,3,1,3,0,44,2,2,3,1,1,1149,1243,6,0,0,0,1,2,12,2,2,10,6,8,8,0
32,2,623,1,28,3,1,1,1,58,1,3,3,2,1,1255,428,0,0,4,0,1,1,28,2,2,27,10,15,7,0
28,2,47,2,3,1,2,3,0,3,1,4,3,1,1,1294,459,2,0,3,0,2,1,26,2,2,11,4,0,8,0
22,2,127,1,5,2,1,1,0,45,2,3,4,2,2,1174,1058,7,0,4,0,2,0,22,3,2,20,6,5,13,0
16,2,388,1,5,0,3,1,1,53,2,0,6,0,2,324,868,2,0,0,0,2,0,8,2,2,4,2,1,3,1
12,0,825,2,21,3,4,2,0,39,2,2,7,0,1,991,38,0,0,0,0,2,0,10,3,2,9,8,7,8,0
10,2,858,1,1,0,1,0,1,37,1,0,6,1,1,361,1031,0,0,6,0,0,0,6,2,0,5,3,0,4,0
9,0,213,1,2,2,3,3,1,20,2,0,6,3,1,27,840,1,0,0,0,2,3,0,6,1,0,0,0,0,0
18,2,268,2,1,3,1,2,0,21,2,1,8,3,2,572,317,3,0,4,0,2,0,17,2,1,13,7,6,7,0
26,2,634,1,1,0,1,0,0,42,3,0,6,3,1,36,1036,1,0,2,0,3,1,10,5,2,10,5,7,7,0
18,2,697,2,8,3,1,2,1,52,1,0,8,0,2,386,289,7,0,12,1,1,0,10,4,2,5,3,0,3,1
27,2,60,1,9,1,1,0,1,39,2,0,6,3,1,231,442,3,0,10,1,3,2,8,3,1,2,2,0,2,0
7,2,500,2,3,1,1,1,0,69,1,1,7,3,2,570,584,1,1,0,0,1,0,5,3,2,5,4,1,3,0
19,2,678,2,2,2,1,2,1,57,2,2,7,3,2,939,721,2,0,1,0,0,0,12,3,2,5,3,1,3,0
1,2,266,2,21,0,2,3,1,20,2,0,8,2,2,25,1414,1,1,8,0,3,0,0,2,1,0,0,0,0,1
13,1,132,1,28,1,3,2,1,41,1,0,2,1,2,401,556,0,0,0,0,1,0,6,2,3,5,4,1,4,1
23,2,348,2,0,2,2,1,1,19,3,2,7,0,1,989,1005,1,0,5,0,2,1,10,2,2,10,7,0,7,0
16,2,630,2,7,1,1,2,0,63,2,1,7,0,1,863,647,5,0,6,0,1,1,6,1,2,3,2,1,2,0
13,2,777,1,10,1,3,2,1,50,2,1,0,0,1,906,867,1,1,1,0,3,0,6,2,1,6,5,0,1,0
21,2,814,0,1,2,1,3,0,12,1,1,1,3,1,692,338,8,0,0,0,2,2,13,2,2,5,4,0,4,0
25,2,522,1,5,2,3,0,0,43,1,1,6,2,2,488,1039,1,1,3,0,0,0,20,3,0,20,7,1,8,0
24,1,417,1,8,1,3,0,0,44,2,0,2,3,2,427,833,1,0,2,0,2,0,12,3,2,12,9,5,8,0
32,1,149,1,21,4,3,2,1,58,0,3,5,3,2,1213,1306,1,1,2,0,3,0,32,2,2,31,6,13,9,0
17,2,458,1,17,4,1,1,1,18,3,1,6,0,1,695,1395,1,0,0,0,3,0,16,2,2,16,15,1,10,0
20,0,780,0,1,2,0,0,1,70,2,0,1,1,0,217,299,5,0,2,0,3,3,13,3,2,11,10,3,8,0
16,1,87,1,8,3,1,3,1,63,2,1,2,0,1,721,249,4,0,6,0,2,1,11,3,1,7,1,0,7,1
23,2,442,2,3,0,2,2,0,51,2,2,7,2,0,1097,1401,0,1,2,0,3,1,23,3,3,22,14,13,5,0
13,0,552,1,2,1,3,2,1,18,2,0,6,0,0,344,106,1,1,2,0,3,1,4,3,3,4,2,2,3,0
14,2,805,1,4,3,1,3,1,26,1,1,4,3,2,1047,477,8,0,13,1,1,0,8,1,2,1,0,0,0,0
14,2,578,1,2,1,1,2,0,9,2,2,5,3,2,1138,994,3,0,4,0,3,0,10,6,2,7,7,7,7,0
32,2,443,1,3,0,1,0,1,66,2,4,5,1,0,1307,787,3,0,3,0,0,2,28,4,1,10,4,1,6,0
6,2,455,1,0,2,3,1,1,31,2,0,6,3,1,120,47,2,1,5,0,0,1,6,2,1,2,0,2,0,1
12,0,562,1,6,2,5,2,1,34,2,0,6,2,0,12,301,1,0,2,0,1,2,1,2,1,1,0,0,0,0
17,0,692,2,7,1,2,2,0,48,1,2,7,3,1,1091,679,4,1,0,0,1,1,16,6,1,13,2,4,12,0
30,2,628,1,14,3,4,2,0,35,2,0,6,0,1,152,838,8,0,1,0,3,1,10,3,1,8,2,7,6,0
16,1,198,1,9,3,1,2,1,12,3,1,4,3,0,615,860,1,0,2,0,0,1,9,3,2,9,7,7,2,0
23,2,346,1,0,2,1,3,1,46,2,0,6,3,1,274,1118,3,0,11,1,0,1,12,3,2,5,3,1,0,0
11,2,154,2,0,2,3,1,0,18,1,0,8,2,0,283,1255,6,1,8,0,2,3,5,3,2,3,2,0,2,1
11,2,14,2,26,2,2,1,0,5,2,2,7,3,1,954,1309,1,0,11,1,3,3,10,3,1,10,4,1,9,1
2,2,542,1,0,2,1,3,0,53,1,0,6,1,2,294,561,1,0,2,0,3,0,1,0,3,1,0,0,0,0
23,2,257,1,6,1,5,1,0,13,3,0,6,2,1,383,964,1,0,2,0,2,0,10,3,2,10,6,0,8,0
11,2,823,2,9,2,1,2,1,69,2,0,8,2,2,227,33,1,0,0,0,2,0,1,6,2,1,0,0,0,0
28,2,571,1,7,3,1,3,0,44,1,1,6,0,0,595,1095,8,1,12,1,0,3,19,2,2,16,13,1,7,0
14,1,9,1,12,2,4,2,0,47,1,0,2,1,1,264,311,1,0,9,1,2,1,2,2,2,2,2,2,2,0
13,2,38,2,6,3,1,1,1,11,1,0,8,2,1,139,559,3,0,4,0,1,0,13,2,3,7,7,5,2,0
23,2,216,1,4,2,1,1,1,55,3,1,0,1,2,912,772,3,0,1,0,0,0,11,3,0,3,2,1,2,0
23,2,833,1,18,1,1,2,1,6,2,1,6,0,0,348,1028,2,0,5,0,0,2,17,2,1,1,0,0,0,0
15,2,251,1,14,1,3,1,0,65,2,1,0,3,1,646,1135,0,1,2,0,0,1,10,6,2,9,7,8,1,0
8,2,815,1,2,3,3,0,1,52,3,0,2,3,1,555,655,1,0,11,1,1,1,8,2,2,8,7,0,7,0
16,2,582,1,5,3,1,2,0,15,1,1,6,1,0,573,745,6,0,4,0,2,1,12,3,2,1,0,0,0,0
15,2,260,1,7,4,1,3,1,39,2,1,0,2,2,850,1155,2,1,6,0,0,0,14,6,2,0,0,0,0,0
19,2,15,1,2,2,4,3,0,5,2,1,0,1,2,494,682,3,0,4,0,0,0,8,3,1,4,3,0,1,0
22,0,80,1,7,0,3,3,1,25,1,2,5,1,0,1201,1339,2,0,0,0,2,1,16,5,2,9,8,4,8,0
22,2,686,1,1,0,3,1,0,59,3,1,0,2,0,846,684,5,0,9,1,1,3,15,0,2,12,11,11,8,0
20,2,207,2,15,2,1,1,0,60,2,1,7,1,2,509,830,2,0,1,0,1,0,8,5,3,3,2,1,2,0
20,2,156,1,14,1,1,2,1,62,1,2,5,3,0,1142,779,0,1,3,0,1,1,12,3,2,11,10,2,9,0
29,1,758,2,3,0,3,1,1,69,2,1,8,2,2,329,1366,3,0,8,0,0,0,5,3,2,0,0,0,0,0
9,0,857,1,2,2,3,2,1,49,1,0,6,2,0,208,1347,1,1,4,0,3,1,1,2,1,1,1,0,1,0
25,2,195,2,24,2,3,2,1,49,1,2,7,3,0,1120,184,5,0,2,0,2,1,18,5,2,1,0,0,0,0
25,1,541,1,27,2,3,1,0,42,3,0,6,2,2,619,809,4,0,1,0,3,0,18,2,2,3,2,1,2,0
11,2,357,1,26,2,3,1,0,36,2,1,0,2,1,540,1358,4,0,1,0,0,1,11,3,1,8,7,1,1,0
11,2,200,2,8,2,2,1,0,22,0,0,8,1,2,267,726,1,0,2,0,2,0,2,3,2,2,2,2,2,1
19,2,704,1,9,1,1,3,1,50,3,0,6,3,2,607,755,3,0,6,0,0,0,4,2,2,1,0,0,0,0
27,2,281,1,7,3,4,3,1,45,2,1,6,3,1,433,426,9,0,3,0,0,2,12,3,2,10,9,9,8,0
18,0,501,1,0,3,3,3,0,3,1,1,4,2,1,545,765,0,0,4,0,2,0,4,6,2,3,2,1,2,0
42,2,197,1,6,2,1,0,0,11,2,4,3,0,1,1330,99,5,0,0,0,3,0,33,5,0,28,8,11,10,0
17,2,556,1,0,3,3,3,1,28,1,0,2,2,1,106,825,6,0,1,0,1,1,10,2,2,8,0,1,7,0
11,2,190,2,22,0,1,3,0,15,1,2,7,0,1,933,534,1,0,2,0,0,1,11,3,0,11,8,3,10,1
5,2,766,1,7,0,3,3,1,63,1,0,2,2,2,472,1073,1,1,0,0,0,0,5,2,2,5,4,1,2,1
8,0,106,2,28,1,3,1,1,49,0,1,7,0,2,659,1143,8,0,7,0,3,0,7,6,2,2,2,2,2,1
20,2,467,1,17,2,3,1,1,30,0,1,0,3,1,791,1311,3,1,5,0,2,1,15,2,2,1,0,1,0,0
12,2,193,2,6,0,2,3,1,27,2,0,8,1,2,332,939,0,0,3,0,0,0,4,3,2,3,2,1,2,0
32,2,448,1,8,2,1,0,1,34,2,0,2,3,1,160,1045,4,0,7,0,1,0,8,5,2,1,0,0,0,0
37,2,405,1,1,2,3,3,1,48,2,4,3,0,1,1344,1111,5,1,2,0,3,1,24,2,2,5,2,1,4,1
22,2,783,2,8,1,3,0,1,17,2,1,7,0,1,747,992,0,0,1,0,3,0,9,5,3,8,4,7,1,0
33,2,530,1,2,2,5,0,0,23,2,2,3,2,1,1166,1222,2,0,0,0,3,0,15,2,2,2,2,2,2,0
9,2,501,1,8,2,3,3,0,69,2,0,6,1,2,115,563,1,0,5,0,3,0,7,2,1,7,7,0,3,0
8,2,41,1,0,2,3,2,1,65,2,0,2,0,2,305,1040,0,0,2,0,3,0,8,6,1,7,7,7,6,0
21,2,614,1,5,2,1,1,0,2,2,2,4,1,2,986,416,4,0,7,0,3,0,9,3,2,2,0,2,2,0
22,2,124,2,24,3,2,3,1,27,1,2,7,1,2,1024,876,2,1,1,0,2,0,9,2,2,5,4,1,0,1
35,2,664,2,23,3,1,0,1,36,2,2,7,0,2,1098,222,6,1,2,0,1,0,15,2,1,2,2,2,2,1
15,0,418,2,21,1,2,2,1,65,2,1,7,1,1,822,770,0,0,2,0,0,1,8,2,3,7,7,0,7,0
18,2,286,2,2,2,3,0,0,64,1,2,7,3,1,956,616,0,0,8,0,2,2,10,2,2,9,7,3,4,0
35,2,360,2,6,1,2,0,0,48,1,2,7,3,1,1131,1079,7,1,7,0,3,1,35,3,2,5,2,0,4,0
25,1,431,2,14,2,1,3,1,17,1,1,7,3,1,901,1262,3,0,7,0,2,1,7,5,2,2,2,2,2,0
12,2,441,1,15,0,1,1,1,3,2,0,6,3,1,303,96,1,0,1,0,1,1,10,2,1,10,0,0,8,0
21,0,209,1,8,2,1,2,1,40,2,1,2,1,2,898,388,9,0,4,0,2,0,9,2,1,5,4,0,3,0
31,1,579,2,1,2,3,3,1,33,1,1,7,1,1,730,641,2,0,3,0,3,0,17,3,1,9,6,0,8,0
16,2,196,1,6,3,1,0,0,23,2,2,5,1,2,1154,1116,0,0,0,0,2,0,13,4,2,12,6,2,11,0
29,0,365,1,28,3,1,0,1,58,2,2,3,1,1,1148,485,1,1,1,0,3,1,10,2,1,10,7,9,9,1
17,2,492,2,2,3,1,3,1,62,2,2,7,3,0,962,278,6,0,2,0,1,1,12,2,2,10,9,0,8,0
12,2,67,1,4,2,5,3,0,54,2,0,6,0,0,363,495,5,0,3,0,3,1,8,3,2,3,2,2,2,0
9,2,23,1,16,3,1,3,0,21,2,0,6,2,2,163,1363,1,1,2,0,3,0,8,2,2,8,2,7,7,1
28,2,175,2,8,2,2,0,1,22,2,2,7,3,0,1074,801,4,0,0,0,0,1,28,1,3,7,7,4,3,1
21,2,507,2,1,4,1,0,1,11,3,2,7,2,2,966,23,0,0,7,0,3,0,9,3,2,8,7,0,7,0
18,2,528,1,1,3,3,2,1,49,2,0,2,2,2,195,597,4,0,10,1,2,0,16,6,2,11,8,3,9,0
24,2,730,1,2,2,1,2,0,65,3,1,2,3,1,700,1264,2,1,2,0,1,1,17,1,1,5,3,1,3,0
38,2,72,0,7,3,1,3,1,69,2,4,3,1,2,1339,108,6,0,3,0,0,0,36,4,2,7,3,7,7,0
13,2,231,1,3,2,3,0,0,32,3,0,2,2,0,469,806,8,0,1,0,1,1,4,0,1,2,2,2,2,0
36,1,520,1,19,3,1,3,0,1,2,1,6,2,2,643,854,3,0,1,0,3,0,20,4,1,4,3,0,3,0
16,2,453,2,7,1,5,1,1,62,3,1,7,2,1,900,1164,1,0,10,1,2,2,10,5,2,10,8,4,8,0
37,2,59,0,25,3,0,2,1,41,3,4,3,1,1,1335,1371,4,1,7,0,0,1,35,0,2,10,9,1,4,0
13,2,96,2,5,3,1,1,1,46,0,1,7,2,1,825,1080,4,1,7,0,1,0,12,3,1,7,7,7,7,1
34,1,142,1,27,1,3,3,0,29,3,3,4,2,1,1176,449,2,1,0,0,1,1,24,3,1,5,3,0,2,0
34,2,565,1,6,3,1,1,1,57,2,2,0,1,2,1096,760,7,0,8,0,3,0,18,4,2,8,6,4,0,0
27,2,732,2,3,1,1,2,0,0,2,1,7,0,0,664,257,4,1,0,0,0,1,9,3,3,5,4,0,3,0
40,2,653,1,8,2,3,1,0,45,1,0,6,1,1,380,570,4,1,9,1,1,1,9,3,1,1,0,0,0,0
38,1,713,1,8,2,3,0,0,33,2,0,6,2,1,321,591,2,0,8,0,1,1,18,4,2,5,4,0,3,0
27,2,763,1,28,2,3,2,1,53,2,0,6,3,2,397,451,5,0,2,0,1,0,9,2,1,6,5,0,3,0
16,0,797,2,18,2,2,0,1,37,3,1,7,3,2,712,143,8,1,2,0,1,0,9,3,1,5,2,0,4,1
19,2,864,1,10,2,3,0,0,64,2,0,2,2,2,422,973,4,0,7,0,0,0,8,6,2,3,2,0,2,0
31,2,882,1,4,3,5,0,1,66,2,1,0,2,1,883,1129,2,0,3,0,1,1,20,0,1,3,2,1,2,0
16,2,56,1,0,3,1,1,0,42,3,0,6,3,2,370,666,2,0,5,0,2,0,10,2,2,4,2,1,3,0
31,2,111,1,2,1,3,2,0,13,1,1,2,0,1,632,1226,4,0,14,1,0,1,10,3,2,3,2,1,2,0
13,1,773,1,2,3,3,1,1,43,2,2,5,2,0,1196,663,9,0,1,0,0,1,9,3,2,2,2,2,2,0
16,2,849,2,6,1,5,1,1,25,2,0,8,2,1,127,159,0,1,14,1,1,1,12,4,2,11,10,5,7,0
8,1,620,1,5,2,4,2,1,31,3,0,2,3,1,201,295,0,0,7,0,0,1,8,3,2,7,7,7,7,0
17,0,407,1,2,2,1,2,1,11,1,0,2,2,1,13,855,1,0,7,0,2,2,1,3,2,1,0,0,0,0
32,2,859,1,10,2,1,2,0,23,2,4,3,1,2,1345,863,3,0,4,0,1,0,21,5,2,5,4,4,4,0
22,2,505,0,5,1,3,2,1,8,2,3,3,3,2,1235,887,1,1,10,1,3,0,21,2,2,21,7,7,7,0
17,2,564,1,0,2,3,3,1,38,1,0,2,0,2,179,1140,1,0,8,0,1,0,3,3,2,3,0,1,2,0
17,0,672,1,1,1,3,1,1,60,2,1,4,3,0,783,1303,2,0,3,0,2,1,15,6,2,7,7,1,7,0
9,1,644,1,14,2,1,3,0,47,1,0,6,0,1,626,1273,0,0,8,0,3,1,8,2,1,7,6,7,3,0
21,2,864,2,5,2,3,3,1,8,3,2,7,2,1,982,144,2,0,0,0,0,1,11,3,2,7,6,7,6,0
7,2,553,1,1,0,4,3,1,27,2,0,2,2,0,468,309,6,1,8,0,2,1,7,2,1,2,2,0,2,0
17,2,499,2,1,2,2,3,0,67,2,0,8,3,1,38,445,1,0,2,0,0,0,2,3,2,2,2,2,2,0
24,2,106,2,4,1,2,3,1,60,2,4,3,2,1,1287,337,6,0,2,0,1,0,21,3,3,1,0,0,0,0
